location_id,observation_datetime,observation_timezone,airtemp_degF,windspeed_avg_mph,winddgust_mph,rhavg_percent,precip_in
FRYI,2021-01-01 00:00:00,EST,44.78,17.2249,26.2624,90.6,0
FRYI,2021-01-01 01:00:00,EST,44.78,21.6989,24.7189,91.6,0.03
FRYI,2021-01-01 02:00:00,EST,45.86,19.0145,17.6701,91.6,0.02
FRYI,2021-01-01 03:00:00,EST,46.04,17.2249,20.4238,91.4,0.04
FRYI,2021-01-01 04:00:00,EST,45.86,16.1064,16.9676,91.6,0.08
FRYI,2021-01-01 05:00:00,EST,43.34,18.7908,25.7702,91.7,0.14
FRYI,2021-01-01 06:00:00,EST,42.26,21.2515,26.7098,91.9,0.1
FRYI,2021-01-01 07:00:00,EST,41.54,23.9359,30.3337,92.1,0.12
FRYI,2021-01-01 08:00:00,EST,40.46,26.1729,30.0877,92.2,0.1
FRYI,2021-01-01 09:00:00,EST,39.38,26.6203,28.5441,92.2,0.1
FRYI,2021-01-01 10:00:00,EST,39.38,27.5151,30.6469,92.1,0.12
FRYI,2021-01-01 11:00:00,EST,39.2,25.9492,24.2938,92.1,0.12
FRYI,2021-01-01 12:00:00,EST,40.1,26.3966,30.9601,92.3,0.25
FRYI,2021-01-01 13:00:00,EST,38.48,23.7122,28.6336,91.9,0.28
FRYI,2021-01-01 14:00:00,EST,41.54,23.0411,26.7993,92.4,0.24
FRYI,2021-01-01 15:00:00,EST,43.88,15.8827,10.9166,92.5,0.15
FRYI,2021-01-01 16:00:00,EST,47.12,15.2116,21.8331,92.1,0.28
FRYI,2021-01-01 17:00:00,EST,44.06,19.2382,24.3833,91.6,0.02
FRYI,2021-01-01 18:00:00,EST,44.42,21.9226,30.5127,92.4,0.02
FRYI,2021-01-01 19:00:00,EST,47.3,24.1596,31.743,92.4,0.02
FRYI,2021-01-01 20:00:00,EST,48.92,22.8174,31.6088,91.8,0
FRYI,2021-01-01 21:00:00,EST,45.5,22.1463,24.8531,89.7,0
FRYI,2021-01-01 22:00:00,EST,46.22,16.1064,18.4552,75.6,0
FRYI,2021-01-01 23:00:00,EST,45.32,9.6191,13.9432,74.4,0
FRYI,2021-01-02 00:00:00,EST,45.14,7.1584,5.65514,80.3,0
FRYI,2021-01-02 01:00:00,EST,45.14,4.0266,4.77823,79.4,0
FRYI,2021-01-02 02:00:00,EST,44.96,3.8029,8.76904,74.4,0
FRYI,2021-01-02 03:00:00,EST,44.78,4.0266,10.9166,71.6,0
FRYI,2021-01-02 04:00:00,EST,45.14,4.0266,9.82043,70.8,0
FRYI,2021-01-02 05:00:00,EST,46.04,4.6977,8.94353,60.6,0
FRYI,2021-01-02 06:00:00,EST,48.56,4.9214,6.48954,45.3,0
FRYI,2021-01-02 07:00:00,EST,46.94,4.6977,7.97938,43.7,0
FRYI,2021-01-02 08:00:00,EST,48.2,3.8029,1.53458,45.1,0
FRYI,2021-01-02 09:00:00,EST,53.6,3.3555,4.33978,40.2,0
FRYI,2021-01-02 10:00:00,EST,56.12,3.3555,6.88325,40.1,0
FRYI,2021-01-02 11:00:00,EST,58.82,3.3555,8.28585,39.1,0
FRYI,2021-01-02 12:00:00,EST,59.9,3.8029,13.9857,39.8,0
FRYI,2021-01-02 13:00:00,EST,59.54,4.474,3.6396,34.9,0
FRYI,2021-01-02 14:00:00,EST,56.48,2.6844,3.90133,43,0
FRYI,2021-01-02 15:00:00,EST,55.76,3.3555,7.58567,42.6,0
FRYI,2021-01-02 16:00:00,EST,56.48,2.9081,9.5587,34,0
FRYI,2021-01-02 17:00:00,EST,52.34,4.2503,11.487,34.5,0
FRYI,2021-01-02 18:00:00,EST,50.18,7.1584,11.3125,37.5,0
FRYI,2021-01-02 19:00:00,EST,49.46,8.2769,14.4242,46.9,0
FRYI,2021-01-02 20:00:00,EST,48.38,12.7509,20.2672,48.6,0
FRYI,2021-01-02 21:00:00,EST,48.56,17.4486,31.0943,44.4,0
FRYI,2021-01-02 22:00:00,EST,46.22,19.4619,26.0834,46.6,0
FRYI,2021-01-02 23:00:00,EST,47.12,18.5671,19.3724,42.8,0
FRYI,2021-01-03 00:00:00,EST,46.04,13.6457,10.6973,62.2,0
FRYI,2021-01-03 01:00:00,EST,45.5,6.9347,10.2589,63.8,0
FRYI,2021-01-03 02:00:00,EST,43.7,6.4873,11.487,68.4,0
FRYI,2021-01-03 03:00:00,EST,43.52,7.3821,12.9343,71.5,0
FRYI,2021-01-03 04:00:00,EST,42.44,6.2636,7.67291,69.3,0
FRYI,2021-01-03 05:00:00,EST,41.72,4.474,10.9613,59.4,0
FRYI,2021-01-03 06:00:00,EST,39.74,4.6977,10.9166,45.9,0
FRYI,2021-01-03 07:00:00,EST,36.14,8.7243,10.0844,60.1,0
FRYI,2021-01-03 08:00:00,EST,33.98,9.3954,15.6523,78,0
FRYI,2021-01-03 09:00:00,EST,37.94,6.4873,14.5562,69.7,0
FRYI,2021-01-03 10:00:00,EST,36.32,11.185,12.0127,74.3,0
FRYI,2021-01-03 11:00:00,EST,38.12,6.711,8.6818,74,0
FRYI,2021-01-03 12:00:00,EST,39.02,3.3555,4.03331,71.5,0
FRYI,2021-01-03 13:00:00,EST,42.26,1.3422,1.92829,73.3,0
FRYI,2021-01-03 14:00:00,EST,39.38,2.0133,4.86771,73.1,0
FRYI,2021-01-03 15:00:00,EST,36.86,2.9081,8.7243,75.2,0
FRYI,2021-01-03 16:00:00,EST,33.98,7.6058,11.355,79.6,0
FRYI,2021-01-03 17:00:00,EST,29.66,12.3035,20.6475,84.1,0
FRYI,2021-01-03 18:00:00,EST,27.86,17.896,19.0369,87.8,0
FRYI,2021-01-03 19:00:00,EST,26.6,18.3434,22.9293,88.1,0
FRYI,2021-01-03 20:00:00,EST,25.7,21.4752,25.5689,88.8,0
FRYI,2021-01-03 21:00:00,EST,25.34,21.9226,26.9559,88.5,0
FRYI,2021-01-03 22:00:00,EST,24.62,20.8041,26.1282,87.8,0
FRYI,2021-01-03 23:00:00,EST,24.26,20.8041,22.4595,88,0
FRYI,2021-01-04 00:00:00,EST,23.9,19.0145,22.3253,87.6,0
FRYI,2021-01-04 01:00:00,EST,24.44,20.3567,22.5713,87.3,0
FRYI,2021-01-04 02:00:00,EST,24.44,15.4353,19.3277,85.3,0
FRYI,2021-01-04 03:00:00,EST,23.9,17.896,24.607,80.1,0
FRYI,2021-01-04 04:00:00,EST,25.34,17.896,22.0121,74,0
FRYI,2021-01-04 05:00:00,EST,26.96,12.7509,16.8357,70.1,0
FRYI,2021-01-04 06:00:00,EST,28.58,12.5272,13.9857,54.9,0
FRYI,2021-01-04 07:00:00,EST,26.78,8.2769,10.7421,49.1,0
FRYI,2021-01-04 08:00:00,EST,23.9,9.3954,20.5133,57,0
FRYI,2021-01-04 09:00:00,EST,32.18,15.8827,15.1266,64.4,0
FRYI,2021-01-04 10:00:00,EST,38.3,6.2636,9.86517,47.7,0
FRYI,2021-01-04 11:00:00,EST,41.36,4.6977,9.29474,43.5,0
FRYI,2021-01-04 12:00:00,EST,39.92,5.1451,6.84075,39.4,0
FRYI,2021-01-04 13:00:00,EST,39.56,3.5792,2.98192,41.2,0
FRYI,2021-01-04 14:00:00,EST,42.44,2.0133,3.42037,42.9,0
FRYI,2021-01-04 15:00:00,EST,42.44,2.0133,4.25254,42.9,0
FRYI,2021-01-04 16:00:00,EST,39.56,2.4607,8.11136,46.5,0
FRYI,2021-01-04 17:00:00,EST,35.24,4.0266,9.51396,50.3,0
FRYI,2021-01-04 18:00:00,EST,32.9,3.5792,8.50507,55.7,0
FRYI,2021-01-04 19:00:00,EST,31.46,4.9214,10.5676,61.1,0
FRYI,2021-01-04 20:00:00,EST,31.46,4.474,10.6101,65.9,0
FRYI,2021-01-04 21:00:00,EST,31.28,4.6977,12.8471,67.7,0
FRYI,2021-01-04 22:00:00,EST,32,4.6977,7.23446,69.9,0
FRYI,2021-01-04 23:00:00,EST,32,3.5792,7.71765,73.5,0
FRYI,2021-01-05 00:00:00,EST,32.36,3.3555,5.12944,75.1,0
FRYI,2021-01-05 01:00:00,EST,32.36,2.4607,5.48065,76.4,0
FRYI,2021-01-05 02:00:00,EST,32.18,4.2503,7.14721,79.3,0
FRYI,2021-01-05 03:00:00,EST,32,3.5792,8.7243,80.4,0
FRYI,2021-01-05 04:00:00,EST,31.82,4.2503,6.48954,82,0
FRYI,2021-01-05 05:00:00,EST,31.64,3.5792,3.50762,83.2,0
FRYI,2021-01-05 06:00:00,EST,31.1,4.474,8.1561,83.7,0
FRYI,2021-01-05 07:00:00,EST,30.38,6.0399,14.0752,86.8,0
FRYI,2021-01-05 08:00:00,EST,30.02,7.6058,10.2164,87.9,0
FRYI,2021-01-05 09:00:00,EST,30.2,9.8428,18.2315,88.2,0
FRYI,2021-01-05 10:00:00,EST,30.2,8.948,15.697,87.7,0
FRYI,2021-01-05 11:00:00,EST,29.3,10.5139,18.7684,88,0
FRYI,2021-01-05 12:00:00,EST,30.38,10.7376,16.8804,88.5,0
FRYI,2021-01-05 13:00:00,EST,30.92,12.9746,20.9607,87.5,0.04
FRYI,2021-01-05 14:00:00,EST,32.54,13.422,16.3547,86.4,0.08
FRYI,2021-01-05 15:00:00,EST,31.64,12.0798,11.9702,82.5,0
FRYI,2021-01-05 16:00:00,EST,31.64,10.2902,14.3369,79.9,0
FRYI,2021-01-05 17:00:00,EST,27.5,12.3035,18.075,77.5,0
FRYI,2021-01-05 18:00:00,EST,26.42,12.0798,19.4619,81.9,0
FRYI,2021-01-05 19:00:00,EST,26.42,10.0665,17.802,85.7,0
FRYI,2021-01-05 20:00:00,EST,24.62,11.4087,14.1624,86.1,0
FRYI,2021-01-05 21:00:00,EST,23.72,14.5405,22.4595,84.9,0
FRYI,2021-01-05 22:00:00,EST,23.54,14.5405,26.5308,85.5,0
FRYI,2021-01-05 23:00:00,EST,23.36,13.6457,14.0305,86.1,0
FRYI,2021-01-06 00:00:00,EST,21.38,15.4353,21.6989,84,0
FRYI,2021-01-06 01:00:00,EST,20.84,13.6457,12.2319,84.2,0
FRYI,2021-01-06 02:00:00,EST,19.94,14.0931,16.3547,83.7,0
FRYI,2021-01-06 03:00:00,EST,18.86,10.7376,7.89214,81.8,0
FRYI,2021-01-06 04:00:00,EST,18.68,9.6191,16.0482,79.5,0
FRYI,2021-01-06 05:00:00,EST,19.22,12.7509,15.697,74.7,0
FRYI,2021-01-06 06:00:00,EST,19.22,18.1197,26.2624,70.8,0
FRYI,2021-01-06 07:00:00,EST,20.3,20.8041,27.9401,64.8,0
FRYI,2021-01-06 08:00:00,EST,22.64,24.1596,28.2757,57.2,0
FRYI,2021-01-06 09:00:00,EST,25.52,24.8307,31.139,50.3,0
FRYI,2021-01-06 10:00:00,EST,25.52,24.607,28.1415,47.1,0
FRYI,2021-01-06 11:00:00,EST,24.98,22.5937,27.8059,55.4,0
FRYI,2021-01-06 12:00:00,EST,27.14,22.5937,23.5556,57.1,0
FRYI,2021-01-06 13:00:00,EST,32,11.4087,12.5831,50.4,0
FRYI,2021-01-06 14:00:00,EST,33.44,4.2503,6.70876,48.1,0
FRYI,2021-01-06 15:00:00,EST,35.24,4.6977,4.47176,49.1,0
FRYI,2021-01-06 16:00:00,EST,33.62,5.3688,11.9254,49.8,0
FRYI,2021-01-06 17:00:00,EST,31.28,5.8162,7.23446,50.7,0
FRYI,2021-01-06 18:00:00,EST,27.86,9.3954,12.8471,58.3,0
FRYI,2021-01-06 19:00:00,EST,28.04,12.3035,14.4242,61.6,0
FRYI,2021-01-06 20:00:00,EST,26.96,12.9746,15.4331,65,0
FRYI,2021-01-06 21:00:00,EST,26.42,15.4353,18.2763,67.6,0
FRYI,2021-01-06 22:00:00,EST,27.14,12.9746,10.3909,61.4,0
FRYI,2021-01-06 23:00:00,EST,29.66,12.0798,13.3728,47,0
FRYI,2021-01-07 00:00:00,EST,29.3,10.9613,11.487,46,0
FRYI,2021-01-07 01:00:00,EST,30.56,10.2902,8.02412,40.6,0
FRYI,2021-01-07 02:00:00,EST,32.72,4.0266,2.93718,26.2,0
FRYI,2021-01-07 03:00:00,EST,33.44,4.2503,1.3601,26.8,0
FRYI,2021-01-07 04:00:00,EST,31.46,1.5659,6.09359,25.9,0
FRYI,2021-01-07 05:00:00,EST,33.08,4.6977,4.29728,27.2,0
FRYI,2021-01-07 06:00:00,EST,32.36,8.5006,9.12025,26.7,0
FRYI,2021-01-07 07:00:00,EST,34.88,4.474,2.84994,17.6,0
FRYI,2021-01-07 08:00:00,EST,27.68,5.1451,10.0844,25.6,0
FRYI,2021-01-07 09:00:00,EST,31.1,9.6191,14.9074,33.8,0
FRYI,2021-01-07 10:00:00,EST,33.26,13.1983,12.0574,41.5,0
FRYI,2021-01-07 11:00:00,EST,29.48,9.1717,14.1624,36.8,0
FRYI,2021-01-07 12:00:00,EST,33.98,14.9879,17.1444,53.5,0
FRYI,2021-01-07 13:00:00,EST,31.1,13.6457,14.4242,57.6,0
FRYI,2021-01-07 14:00:00,EST,31.1,14.3168,13.5473,59.9,0
FRYI,2021-01-07 15:00:00,EST,28.4,12.0798,10.9613,68.8,0
FRYI,2021-01-07 16:00:00,EST,26.96,10.7376,14.5137,69.4,0
FRYI,2021-01-07 17:00:00,EST,26.06,11.8561,19.5066,62.9,0
FRYI,2021-01-07 18:00:00,EST,25.7,16.7775,15.2586,74.7,0
FRYI,2021-01-07 19:00:00,EST,28.4,13.422,9.25223,72.9,0
FRYI,2021-01-07 20:00:00,EST,28.4,9.8428,12.0574,62.3,0
FRYI,2021-01-07 21:00:00,EST,23.36,16.7775,16.7932,78,0
FRYI,2021-01-07 22:00:00,EST,22.46,17.896,18.9026,88.2,0
FRYI,2021-01-07 23:00:00,EST,23.18,17.0012,15.1266,88.2,0
FRYI,2021-01-08 00:00:00,EST,24.8,16.1064,19.5066,88.9,0
FRYI,2021-01-08 01:00:00,EST,26.78,14.5405,13.7665,89.7,0
FRYI,2021-01-08 02:00:00,EST,25.7,13.422,16.7059,89.4,0
FRYI,2021-01-08 03:00:00,EST,23.72,14.9879,15.7395,88.3,0
FRYI,2021-01-08 04:00:00,EST,24.62,13.422,14.5137,88.4,0
FRYI,2021-01-08 05:00:00,EST,25.88,13.1983,15.8715,88.9,0
FRYI,2021-01-08 06:00:00,EST,25.52,13.1983,11.5317,88.9,0
FRYI,2021-01-08 07:00:00,EST,25.52,11.6324,15.697,88.5,0
FRYI,2021-01-08 08:00:00,EST,24.98,9.8428,11.9702,88.4,0
FRYI,2021-01-08 09:00:00,EST,25.88,8.2769,10.8293,88.2,0
FRYI,2021-01-08 10:00:00,EST,27.5,7.1584,9.03301,88.8,0
FRYI,2021-01-08 11:00:00,EST,28.4,2.9081,0,88.5,0
FRYI,2021-01-08 12:00:00,EST,29.12,0,0,88.3,0
FRYI,2021-01-08 13:00:00,EST,30.92,0,0,88.4,0.03
FRYI,2021-01-08 14:00:00,EST,29.66,0,0,87.9,0.04
FRYI,2021-01-08 15:00:00,EST,28.04,0,0,87.5,0.03
FRYI,2021-01-08 16:00:00,EST,27.86,0,0.087243,87.4,0.01
FRYI,2021-01-08 17:00:00,EST,24.44,15.659,32.526,86.9,0
FRYI,2021-01-08 18:00:00,EST,23.18,23.7122,27.8954,86.7,0
FRYI,2021-01-08 19:00:00,EST,22.28,23.0411,23.578,86.5,0
FRYI,2021-01-08 20:00:00,EST,21.74,20.5804,21.2291,86.2,0
FRYI,2021-01-08 21:00:00,EST,21.38,23.2648,25.1663,86.2,0
FRYI,2021-01-08 22:00:00,EST,21.2,24.607,30.6916,86.1,0
FRYI,2021-01-08 23:00:00,EST,21.2,21.0278,24.5175,85.5,0
