location_id,observation_datetime,observation_timezone,airtemp_degF,windspeed_avg_mph,winddgust_mph,rhavg_percent,precip_in
MORG,2024-07-31 14:00:00,EST,90.14,3.8029,4.16529,53.5,0.02
MORG,2024-07-31 15:00:00,EST,89.24,4.2503,4.29728,52.6,0
MORG,2024-07-31 16:00:00,EST,88.88,2.0133,2.8052,52.3,0
MORG,2024-07-31 17:00:00,EST,89.06,1.5659,1.92829,50.7,0
MORG,2024-07-31 18:00:00,EST,88.34,2.0133,5.12944,48.2,0
MORG,2024-07-31 19:00:00,EST,83.48,3.3555,0,52,0
MORG,2024-07-31 20:00:00,EST,81.32,2.4607,4.42926,68.1,0
MORG,2024-07-31 21:00:00,EST,78.8,2.0133,3.33313,73.8,0
MORG,2024-07-31 22:00:00,EST,79.16,4.0266,5.87436,68.8,0
MORG,2024-07-31 23:00:00,EST,75.74,3.3555,3.15641,69.9,0
MORG,2024-08-01 00:00:00,EST,75.74,1.3422,0,78.5,0
MORG,2024-08-01 01:00:00,EST,75.2,2.237,2.19226,81.2,0
MORG,2024-08-01 02:00:00,EST,73.4,1.5659,1.4026,85.9,0
MORG,2024-08-01 03:00:00,EST,71.96,0.4474,0.438452,90.1,0
MORG,2024-08-01 04:00:00,EST,72.14,0.8948,4.38452,91.3,0
MORG,2024-08-01 05:00:00,EST,69.98,1.1185,1.09613,92.9,0
MORG,2024-08-01 06:00:00,EST,69.26,0.8948,2.84994,93.7,0
MORG,2024-08-01 07:00:00,EST,74.66,0.6711,2.58597,91,0
MORG,2024-08-01 08:00:00,EST,80.24,1.7896,3.42037,78,0
MORG,2024-08-01 09:00:00,EST,83.48,1.5659,1.18337,64.5,0
MORG,2024-08-01 10:00:00,EST,86,1.5659,1.97303,59.1,0
MORG,2024-08-01 11:00:00,EST,84.92,3.3555,3.37563,57.9,0
MORG,2024-08-01 12:00:00,EST,87.26,3.8029,6.66402,58.4,0
MORG,2024-08-01 13:00:00,EST,87.26,4.6977,6.27031,59.3,0
MORG,2024-08-01 14:00:00,EST,91.58,3.5792,4.16529,57.4,0
MORG,2024-08-01 15:00:00,EST,89.24,2.0133,3.28839,55.7,0
MORG,2024-08-01 16:00:00,EST,87.98,1.5659,7.71765,61.7,0
MORG,2024-08-01 17:00:00,EST,82.04,9.1717,8.6818,65.6,0
MORG,2024-08-01 18:00:00,EST,81.68,7.1584,10.9166,66.7,0
MORG,2024-08-01 19:00:00,EST,79.52,4.0266,3.55236,68.9,0
MORG,2024-08-01 20:00:00,EST,76.46,3.1318,1.92829,75.3,0
MORG,2024-08-01 21:00:00,EST,77,1.1185,2.67545,82.3,0
MORG,2024-08-01 22:00:00,EST,73.76,1.1185,2.93718,88.6,0
MORG,2024-08-01 23:00:00,EST,72.86,2.0133,1.00889,90.2,0
MORG,2024-08-02 00:00:00,EST,71.6,1.1185,3.20115,94.1,0
MORG,2024-08-02 01:00:00,EST,72.32,1.5659,1.44734,92.3,0
MORG,2024-08-02 02:00:00,EST,71.78,1.5659,0,94.9,0
MORG,2024-08-02 03:00:00,EST,70.7,0.4474,0,95.8,0
MORG,2024-08-02 04:00:00,EST,71.06,1.1185,0.612938,96.6,0
MORG,2024-08-02 05:00:00,EST,69.62,0.4474,0.702418,98.1,0
MORG,2024-08-02 06:00:00,EST,68.72,0.2237,0,98.6,0
MORG,2024-08-02 07:00:00,EST,73.22,0.6711,3.77158,99.1,0
MORG,2024-08-02 08:00:00,EST,77.9,1.7896,3.85882,92.7,0
MORG,2024-08-02 09:00:00,EST,83.66,2.0133,1.22811,82.5,0
MORG,2024-08-02 10:00:00,EST,86.18,2.237,4.73573,72.1,0
MORG,2024-08-02 11:00:00,EST,88.16,3.3555,5.17418,61.7,0
MORG,2024-08-02 12:00:00,EST,89.96,3.1318,4.21003,61.9,0
MORG,2024-08-02 13:00:00,EST,87.26,6.711,9.12025,60.4,0
MORG,2024-08-02 14:00:00,EST,81.68,4.9214,7.67291,69.3,0
MORG,2024-08-02 15:00:00,EST,75.56,5.8162,7.10247,75.9,0
MORG,2024-08-02 16:00:00,EST,77.18,2.237,0.964147,84.9,0
MORG,2024-08-02 17:00:00,EST,80.42,3.5792,5.30616,79.9,0
MORG,2024-08-02 18:00:00,EST,80.42,3.5792,3.28839,73.1,0
MORG,2024-08-02 19:00:00,EST,77.9,2.4607,2.237,75.7,0
MORG,2024-08-02 20:00:00,EST,74.48,2.9081,2.41149,79.3,0.13
MORG,2024-08-02 21:00:00,EST,70.7,3.8029,2.32424,93.8,0.2
MORG,2024-08-02 22:00:00,EST,70.34,0.8948,0,96.9,0
MORG,2024-08-02 23:00:00,EST,68.9,0.2237,2.63071,98.4,0
MORG,2024-08-03 00:00:00,EST,68.72,0.4474,0.876904,99.1,0
MORG,2024-08-03 01:00:00,EST,69.08,0.4474,3.50762,99,0
MORG,2024-08-03 02:00:00,EST,67.82,0.6711,2.237,99.3,0
MORG,2024-08-03 03:00:00,EST,68.36,1.5659,3.6821,99.9,0
MORG,2024-08-03 04:00:00,EST,68,0.8948,1.92829,100,0
MORG,2024-08-03 05:00:00,EST,67.46,0.8948,2.237,100,0
MORG,2024-08-03 06:00:00,EST,67.64,1.1185,3.59486,100,0
MORG,2024-08-03 07:00:00,EST,68.36,1.5659,2.14752,100,0.02
MORG,2024-08-03 08:00:00,EST,68.9,1.1185,1.18337,100,0
MORG,2024-08-03 09:00:00,EST,70.52,1.3422,1.05139,100,0
MORG,2024-08-03 10:00:00,EST,75.92,1.5659,0.483192,99.3,0
MORG,2024-08-03 11:00:00,EST,81.5,2.4607,6.4448,88.4,0
MORG,2024-08-03 12:00:00,EST,83.3,4.0266,2.8052,76.3,0
MORG,2024-08-03 13:00:00,EST,86.18,4.2503,9.77793,68.7,0
MORG,2024-08-03 14:00:00,EST,83.84,5.5925,4.55901,65,0
MORG,2024-08-03 15:00:00,EST,87.98,4.0266,4.91021,67.9,0
MORG,2024-08-03 16:00:00,EST,81.68,1.7896,0,68.1,0
MORG,2024-08-03 17:00:00,EST,78.8,4.9214,7.62817,78.4,0
MORG,2024-08-03 18:00:00,EST,76.1,5.8162,7.58567,76.3,0
MORG,2024-08-03 19:00:00,EST,76.82,5.3688,4.29728,75.7,0
MORG,2024-08-03 20:00:00,EST,74.12,1.5659,0.832164,79.4,0
MORG,2024-08-03 21:00:00,EST,73.22,1.1185,0.306469,85.2,0
MORG,2024-08-03 22:00:00,EST,72.86,2.237,3.6821,89.6,0
MORG,2024-08-03 23:00:00,EST,71.78,1.7896,4.12055,91.1,0
MORG,2024-08-04 00:00:00,EST,70.52,1.3422,1.48984,93.4,0
MORG,2024-08-04 01:00:00,EST,70.7,3.5792,4.95495,92,0
MORG,2024-08-04 02:00:00,EST,69.26,1.7896,0,94.5,0
MORG,2024-08-04 03:00:00,EST,68.36,0.2237,1.53458,97.5,0
MORG,2024-08-04 04:00:00,EST,68,0.6711,2.41149,97.7,0
