location_id,observation_datetime,observation_timezone,airtemp_degF,windspeed_avg_mph,winddgust_mph,rhavg_percent,precip_in
SALI,2022-01-01 00:00:00,EST,62.6,0.8948,2.58597,92.7,0
SALI,2022-01-01 01:00:00,EST,63.32,1.5659,1.3601,93.3,0
SALI,2022-01-01 02:00:00,EST,63.5,1.3422,1.4026,95.8,0
SALI,2022-01-01 03:00:00,EST,64.94,1.7896,2.98192,96.5,0
SALI,2022-01-01 04:00:00,EST,66.02,3.3555,6.31281,96.3,0
SALI,2022-01-01 05:00:00,EST,67.64,6.9347,8.33059,93.4,0
SALI,2022-01-01 06:00:00,EST,68.18,8.2769,13.4175,90.6,0
SALI,2022-01-01 07:00:00,EST,68.36,8.2769,10.4356,89.7,0
SALI,2022-01-01 08:00:00,EST,69.08,7.3821,12.6279,88.1,0
SALI,2022-01-01 09:00:00,EST,70.34,7.8295,9.69068,84.1,0
SALI,2022-01-01 10:00:00,EST,71.42,10.2902,17.0996,81,0
SALI,2022-01-01 11:00:00,EST,72.68,11.4087,16.0907,77.2,0
SALI,2022-01-01 12:00:00,EST,74.48,12.3035,11.8829,72.3,0
SALI,2022-01-01 13:00:00,EST,74.84,11.6324,20.0883,69.1,0
SALI,2022-01-01 14:00:00,EST,76.64,12.9746,27.1348,64.3,0
SALI,2022-01-01 15:00:00,EST,75.56,11.8561,15.565,62.7,0
SALI,2022-01-01 16:00:00,EST,73.4,7.8295,14.1624,68.7,0
SALI,2022-01-01 17:00:00,EST,71.24,9.8428,17.7126,76.3,0.01
SALI,2022-01-01 18:00:00,EST,70.16,10.5139,19.6409,79.3,0
SALI,2022-01-01 19:00:00,EST,70.52,9.1717,12.1894,80.9,0
SALI,2022-01-01 20:00:00,EST,69.8,7.8295,9.29474,82.9,0
SALI,2022-01-01 21:00:00,EST,70.16,6.0399,9.29474,83.7,0
SALI,2022-01-01 22:00:00,EST,70.88,7.3821,7.10247,79.2,0
SALI,2022-01-01 23:00:00,EST,71.06,9.3954,17.9855,74.9,0
SALI,2022-01-02 00:00:00,EST,71.06,9.6191,15.829,73.2,0
SALI,2022-01-02 01:00:00,EST,70.88,12.0798,16.6612,71.6,0
SALI,2022-01-02 02:00:00,EST,71.06,12.0798,13.0663,72.4,0
SALI,2022-01-02 03:00:00,EST,71.06,10.9613,21.1844,73.3,0
SALI,2022-01-02 04:00:00,EST,71.06,12.0798,9.29474,73.6,0
SALI,2022-01-02 05:00:00,EST,70.88,11.4087,11.3998,74.9,0
SALI,2022-01-02 06:00:00,EST,63.32,7.8295,4.82297,86.9,0.24
SALI,2022-01-02 07:00:00,EST,62.24,3.1318,5.08694,98,0.04
SALI,2022-01-02 08:00:00,EST,61.88,1.3422,2.36675,99.5,0.05
SALI,2022-01-02 09:00:00,EST,63.5,4.474,5.78712,98.7,0.06
SALI,2022-01-02 10:00:00,EST,62.96,4.9214,4.73573,96.5,0.02
