location_id,observation_datetime,observation_timezone,airtemp_degF,windspeed_avg_mph,winddgust_mph,rhavg_percent,precip_in
UNCA,2021-01-01 00:00:00,EST,51.71,5.8162,7.81831,83.7,0
UNCA,2021-01-01 01:00:00,EST,51.89,6.711,6.72219,84.9,0
UNCA,2021-01-01 02:00:00,EST,51.962,4.474,5.62606,87.2,0
UNCA,2021-01-01 03:00:00,EST,52.808,5.5925,8.62364,88.9,0
UNCA,2021-01-01 04:00:00,EST,51.584,6.0399,7.59909,92.9,0.03
UNCA,2021-01-01 05:00:00,EST,51.17,5.8162,9.71976,93.3,0.01
UNCA,2021-01-01 06:00:00,EST,49.64,8.2769,14.3235,94.4,0.06
UNCA,2021-01-01 07:00:00,EST,49.028,8.948,11.912,94.8,0.03
UNCA,2021-01-01 08:00:00,EST,49.028,10.2902,13.1536,95.1,0.02
UNCA,2021-01-01 09:00:00,EST,48.416,9.1717,11.619,94.6,0.03
UNCA,2021-01-01 10:00:00,EST,47.318,10.0665,11.619,94.6,0.04
UNCA,2021-01-01 11:00:00,EST,45.9824,10.7376,18.6342,95,0.04
UNCA,2021-01-01 12:00:00,EST,44.5154,10.0665,12.3505,94.8,0.03
UNCA,2021-01-01 13:00:00,EST,43.538,8.7243,7.37986,95.6,0.16
UNCA,2021-01-01 14:00:00,EST,42.0098,7.3821,7.59909,96,0.1
UNCA,2021-01-01 15:00:00,EST,41.5202,6.2636,9.13367,96.8,0.21
UNCA,2021-01-01 16:00:00,EST,42.8036,5.5925,3.50762,97.1,0.14
UNCA,2021-01-01 17:00:00,EST,43.1708,4.9214,14.8335,97.1,0.02
UNCA,2021-01-01 18:00:00,EST,43.1708,8.2769,10.3036,97.1,0.01
UNCA,2021-01-01 19:00:00,EST,43.0484,8.5006,10.3774,97.2,0.01
UNCA,2021-01-01 20:00:00,EST,43.5992,8.5006,11.1067,97.3,0
UNCA,2021-01-01 21:00:00,EST,44.3318,6.0399,10.0106,97.4,0
UNCA,2021-01-01 22:00:00,EST,43.1708,6.9347,4.52993,97.5,0
UNCA,2021-01-01 23:00:00,EST,43.4768,3.5792,4.74915,97.6,0
UNCA,2021-01-02 00:00:00,EST,45.3092,5.1451,7.16064,97.7,0
UNCA,2021-01-02 01:00:00,EST,45.86,5.3688,8.98827,97.8,0
