location_id,observation_datetime,observation_timezone,airtemp_degF,windspeed_avg_mph,winddgust_mph,rhavg_percent,precip_in
WINE,2018-01-01 00:00:00,EST,13.1,2.237,3.20115,87.4,0
WINE,2018-01-01 01:00:00,EST,11.3,2.0133,3.94607,86.8,0
WINE,2018-01-01 02:00:00,EST,10.22,2.4607,3.46288,86.5,0
WINE,2018-01-01 03:00:00,EST,8.42,2.237,1.92829,85.9,0
WINE,2018-01-01 04:00:00,EST,5.18,2.0133,2.58597,84.7,0
WINE,2018-01-01 05:00:00,EST,3.2,2.0133,2.45623,83,0
WINE,2018-01-01 06:00:00,EST,2.66,2.9081,4.95495,78,0
WINE,2018-01-01 07:00:00,EST,1.94,4.2503,5.48065,70.9,0
WINE,2018-01-01 08:00:00,EST,2.3,2.9081,2.14752,72.3,0
WINE,2018-01-01 09:00:00,EST,3.56,1.5659,1.88579,81.8,0
WINE,2018-01-01 10:00:00,EST,6.8,1.7896,3.02442,65.7,0
WINE,2018-01-01 11:00:00,EST,8.78,0.8948,0,64.6,0
WINE,2018-01-01 12:00:00,EST,9.32,0.6711,0.219226,70.2,0
WINE,2018-01-01 13:00:00,EST,10.94,0.6711,1.18337,79.4,0
WINE,2018-01-01 14:00:00,EST,11.66,1.5659,1.44734,80,0
WINE,2018-01-01 15:00:00,EST,10.76,1.5659,2.01777,74.9,0
WINE,2018-01-01 16:00:00,EST,9.32,2.237,1.44734,76.3,0
WINE,2018-01-01 17:00:00,EST,8.06,2.0133,0,74.5,0
WINE,2018-01-01 18:00:00,EST,5.72,1.1185,2.49873,73,0
WINE,2018-01-01 19:00:00,EST,4.82,2.9081,3.59486,68.5,0
WINE,2018-01-01 20:00:00,EST,4.1,3.1318,3.20115,65.7,0
WINE,2018-01-01 21:00:00,EST,3.38,2.6844,2.84994,55.9,0
WINE,2018-01-01 22:00:00,EST,2.66,3.5792,5.08694,50.5,0
WINE,2018-01-01 23:00:00,EST,6.98,4.9214,6.31281,41.8,0
WINE,2018-01-02 00:00:00,EST,5,5.8162,5.83186,40.5,0
WINE,2018-01-02 01:00:00,EST,6.08,5.1451,6.4448,38.7,0
WINE,2018-01-02 02:00:00,EST,4.64,6.0399,7.54093,37.2,0
WINE,2018-01-02 03:00:00,EST,5.36,7.1584,7.23446,37.2,0
WINE,2018-01-02 04:00:00,EST,5.18,6.2636,6.35755,35.1,0
WINE,2018-01-02 05:00:00,EST,8.6,5.5925,6.79601,32.5,0
WINE,2018-01-02 06:00:00,EST,11.66,5.8162,8.28585,20.8,0
WINE,2018-01-02 07:00:00,EST,11.12,5.3688,6.62152,17,0
WINE,2018-01-02 08:00:00,EST,11.66,5.1451,5.83186,16.4,0
WINE,2018-01-02 09:00:00,EST,14,4.474,4.38452,17.1,0
WINE,2018-01-02 10:00:00,EST,17.78,4.0266,4.21003,15,0
WINE,2018-01-02 11:00:00,EST,22.82,2.4607,3.42037,15.9,0
WINE,2018-01-02 12:00:00,EST,22.64,2.9081,7.2792,16.6,0
WINE,2018-01-02 13:00:00,EST,24.8,2.9081,2.19226,23.2,0
WINE,2018-01-02 14:00:00,EST,24.26,1.3422,2.71796,24.6,0
WINE,2018-01-02 15:00:00,EST,25.88,1.3422,2.93718,25.6,0
WINE,2018-01-02 16:00:00,EST,22.1,1.5659,1.84105,29.2,0
WINE,2018-01-02 17:00:00,EST,19.22,1.7896,4.73573,35.2,0
WINE,2018-01-02 18:00:00,EST,15.08,2.4607,5.0422,37.7,0
WINE,2018-01-02 19:00:00,EST,12.2,2.9081,3.15641,40.4,0
WINE,2018-01-02 20:00:00,EST,14.18,2.0133,1.75381,39.9,0
WINE,2018-01-02 21:00:00,EST,17.96,3.5792,7.05997,26.2,0
WINE,2018-01-02 22:00:00,EST,14.9,5.3688,8.76904,30.4,0
WINE,2018-01-02 23:00:00,EST,15.62,6.2636,8.24335,34.3,0
WINE,2018-01-03 00:00:00,EST,15.08,5.8162,10.5676,37.4,0
WINE,2018-01-03 01:00:00,EST,17.06,6.711,8.98827,39.7,0
WINE,2018-01-03 02:00:00,EST,17.06,6.0399,9.03301,33.9,0
WINE,2018-01-03 03:00:00,EST,15.98,6.4873,9.42672,33,0
WINE,2018-01-03 04:00:00,EST,15.44,7.8295,11.0933,34.7,0
WINE,2018-01-03 05:00:00,EST,15.8,6.711,7.89214,22.7,0
WINE,2018-01-03 06:00:00,EST,16.34,6.2636,8.1986,20.7,0
WINE,2018-01-03 07:00:00,EST,17.24,5.3688,9.90991,15.9,0
WINE,2018-01-03 08:00:00,EST,17.42,6.0399,8.59455,17.2,0
WINE,2018-01-03 09:00:00,EST,17.24,5.5925,9.12025,19.1,0
WINE,2018-01-03 10:00:00,EST,18.14,5.5925,9.77793,23,0
WINE,2018-01-03 11:00:00,EST,19.4,6.4873,9.95241,23.3,0
WINE,2018-01-03 12:00:00,EST,20.84,5.1451,5.12944,20.9,0
WINE,2018-01-03 13:00:00,EST,21.2,2.4607,3.94607,20.5,0
WINE,2018-01-03 14:00:00,EST,23,2.237,2.98192,28.4,0
WINE,2018-01-03 15:00:00,EST,22.64,2.9081,5.26142,45.3,0
WINE,2018-01-03 16:00:00,EST,20.48,2.9081,5.65514,62.8,0
WINE,2018-01-03 17:00:00,EST,18.86,3.1318,4.29728,65,0
WINE,2018-01-03 18:00:00,EST,14.36,4.474,6.00634,63.4,0
WINE,2018-01-03 19:00:00,EST,12.56,6.2636,13.6793,66.6,0
WINE,2018-01-03 20:00:00,EST,12.02,11.6324,22.191,52.2,0
WINE,2018-01-03 21:00:00,EST,10.94,13.1983,19.1711,56.9,0
WINE,2018-01-03 22:00:00,EST,11.48,12.9746,22.4818,66.3,0
WINE,2018-01-03 23:00:00,EST,10.4,14.0931,15.1713,71.8,0
WINE,2018-01-04 00:00:00,EST,8.96,13.6457,16.8804,70.7,0
WINE,2018-01-04 01:00:00,EST,7.34,15.2116,27.4927,79.3,0
WINE,2018-01-04 02:00:00,EST,6.98,14.5405,27.448,84.4,0
WINE,2018-01-04 03:00:00,EST,6.08,16.7775,22.8398,84.6,0
WINE,2018-01-04 04:00:00,EST,5.18,13.6457,19.954,84.5,0
WINE,2018-01-04 05:00:00,EST,4.64,13.422,16.5739,84.2,0
WINE,2018-01-04 06:00:00,EST,3.74,16.3301,23.4214,83.7,0
WINE,2018-01-04 07:00:00,EST,3.38,17.4486,21.2291,83.5,0
WINE,2018-01-04 08:00:00,EST,2.66,17.4486,30.6469,83.2,0
WINE,2018-01-04 09:00:00,EST,3.2,16.3301,20.9607,83.2,0
WINE,2018-01-04 10:00:00,EST,4.28,16.3301,21.5647,82.5,0
WINE,2018-01-04 11:00:00,EST,5.18,15.8827,26.2176,82,0
WINE,2018-01-04 12:00:00,EST,6.26,15.2116,19.9093,81.9,0
WINE,2018-01-04 13:00:00,EST,6.62,14.3168,19.4619,82.3,0
WINE,2018-01-04 14:00:00,EST,7.7,12.0798,20.7817,82,0
WINE,2018-01-04 15:00:00,EST,6.62,12.9746,19.6856,81.4,0
WINE,2018-01-04 16:00:00,EST,5,13.422,22.8845,81.2,0
WINE,2018-01-04 17:00:00,EST,3.2,10.9613,15.829,80.9,0
WINE,2018-01-04 18:00:00,EST,1.04,14.9879,20.2225,79.9,0
WINE,2018-01-04 19:00:00,EST,-0.4,14.9879,16.9251,82.2,0
WINE,2018-01-04 20:00:00,EST,-0.760001,14.9879,18.1421,82.6,0
WINE,2018-01-04 21:00:00,EST,-1.12,14.5405,22.0121,82.5,0
WINE,2018-01-04 22:00:00,EST,-1.48,14.5405,21.6542,82.3,0
WINE,2018-01-04 23:00:00,EST,-0.4,17.4486,26.5308,82.1,0
WINE,2018-01-05 00:00:00,EST,2.12,21.2515,32.6155,73.3,0
WINE,2018-01-05 01:00:00,EST,2.3,21.4752,25.7031,52,0
WINE,2018-01-05 02:00:00,EST,2.3,21.2515,30.4232,50.6,0
WINE,2018-01-05 03:00:00,EST,2.12,20.3567,31.6983,53.8,0
WINE,2018-01-05 04:00:00,EST,5.54,22.37,30.3785,31.6,0
WINE,2018-01-05 05:00:00,EST,4.46,21.2515,27.0006,26.4,0
WINE,2018-01-05 06:00:00,EST,3.74,19.9093,25.7479,26.6,0
WINE,2018-01-05 07:00:00,EST,5.18,21.0278,28.0967,29.3,0
WINE,2018-01-05 08:00:00,EST,5,19.2382,26.7098,43.2,0
WINE,2018-01-05 09:00:00,EST,7.88,20.133,23.5556,51.8,0
WINE,2018-01-05 10:00:00,EST,10.58,19.4619,30.8259,68.5,0
WINE,2018-01-05 11:00:00,EST,13.64,18.5671,20.3791,72.2,0
WINE,2018-01-05 12:00:00,EST,14.72,14.3168,21.2739,67.5,0
WINE,2018-01-05 13:00:00,EST,11.66,12.7509,18.9474,71.1,0
WINE,2018-01-05 14:00:00,EST,15.08,11.8561,15.3906,71.8,0
WINE,2018-01-05 15:00:00,EST,14.18,10.5139,13.7665,69.5,0
WINE,2018-01-05 16:00:00,EST,12.56,10.2902,15.4778,71.2,0
WINE,2018-01-05 17:00:00,EST,10.4,9.1717,10.0397,75.6,0
WINE,2018-01-05 18:00:00,EST,8.96,11.185,13.8985,78.8,0
WINE,2018-01-05 19:00:00,EST,7.52,10.9613,16.0482,81.4,0
WINE,2018-01-05 20:00:00,EST,6.44,12.7509,19.8198,82.9,0
WINE,2018-01-05 21:00:00,EST,6.44,14.3168,22.2805,84.7,0
WINE,2018-01-05 22:00:00,EST,5.36,14.3168,21.4752,84.9,0
WINE,2018-01-05 23:00:00,EST,4.64,14.9879,20.4685,84.6,0
WINE,2018-01-06 00:00:00,EST,5.72,14.9879,17.8893,84.4,0
WINE,2018-01-06 01:00:00,EST,6.26,14.5405,19.2382,84.2,0
WINE,2018-01-06 02:00:00,EST,6.98,15.2116,18.5447,82.1,0
WINE,2018-01-06 03:00:00,EST,6.44,16.5538,29.3718,81.3,0
WINE,2018-01-06 04:00:00,EST,6.26,16.3301,25.211,79.3,0
WINE,2018-01-06 05:00:00,EST,5,17.6723,27.269,74.5,0
WINE,2018-01-06 06:00:00,EST,6.98,17.6723,27.8506,47.7,0
WINE,2018-01-06 07:00:00,EST,6.8,18.5671,26.1729,24.6,0
WINE,2018-01-06 08:00:00,EST,7.16,19.2382,32.347,24.1,0
WINE,2018-01-06 09:00:00,EST,8.78,18.7908,21.5647,28.1,0
WINE,2018-01-06 10:00:00,EST,11.12,14.9879,19.9988,25.5,0
WINE,2018-01-06 11:00:00,EST,14,13.422,15.4331,21.2,0
WINE,2018-01-06 12:00:00,EST,15.98,10.5139,12.1894,20.4,0
WINE,2018-01-06 13:00:00,EST,17.96,8.7243,12.1447,20.5,0
WINE,2018-01-06 14:00:00,EST,19.4,7.1584,9.86517,19.3,0
WINE,2018-01-06 15:00:00,EST,19.22,7.1584,10.9613,18.3,0
WINE,2018-01-06 16:00:00,EST,18.68,6.0399,14.5137,19.2,0
WINE,2018-01-06 17:00:00,EST,15.44,8.0532,14.8201,19.7,0
WINE,2018-01-06 18:00:00,EST,13.28,8.948,14.1624,15.5,0
WINE,2018-01-06 19:00:00,EST,13.28,9.8428,12.8024,13.9,0
WINE,2018-01-06 20:00:00,EST,12.2,7.6058,10.8741,15.9,0
WINE,2018-01-06 21:00:00,EST,13.64,8.948,12.2319,14.2,0
WINE,2018-01-06 22:00:00,EST,16.7,8.948,13.0663,13.5,0
WINE,2018-01-06 23:00:00,EST,18.5,8.7243,9.86517,11,0
WINE,2018-01-07 00:00:00,EST,18.68,7.3821,8.81378,10.4,0
WINE,2018-01-07 01:00:00,EST,19.4,6.2636,8.7243,10.1,0
WINE,2018-01-07 02:00:00,EST,21.74,5.3688,6.35755,8.2,0
WINE,2018-01-07 03:00:00,EST,20.66,2.6844,2.10502,7.2,0
WINE,2018-01-07 04:00:00,EST,20.48,3.3555,5.26142,7.2,0
WINE,2018-01-07 05:00:00,EST,20.66,4.9214,6.92799,8.6,0
WINE,2018-01-07 06:00:00,EST,19.58,7.3821,10.0397,9.2,0
WINE,2018-01-07 07:00:00,EST,21.56,8.5006,11.8382,9.2,0
WINE,2018-01-07 08:00:00,EST,19.58,9.6191,12.7598,9.9,0
WINE,2018-01-07 09:00:00,EST,23,9.6191,12.0574,11.5,0
WINE,2018-01-07 10:00:00,EST,26.06,10.7376,12.7151,10.3,0
